Sample,Average_Probability,Number_of_Batches
TRUST_3723f4d1-0759-488f-a61d-102cba15b29b_airr_extracted_trb_frequencies_filtered.tsv,0.5626,1
TRUST_3786ba73-caac-4076-9a8a-5c1607913e67_airr_extracted_trb_frequencies_filtered.tsv,0.5741,1
TRUST_389a8b08-20b5-448f-b6a6-f6949a34c814_airr_extracted_trb_frequencies_filtered.tsv,0.6377,1
TRUST_38dd29ce-7af4-4958-81d0-d993d2a22433_airr_extracted_trb_frequencies_filtered.tsv,0.5884,1
TRUST_3b3b490d-1dd6-40b8-8847-34ff630e159d_airr_extracted_trb_frequencies_filtered.tsv,0.6803,10
TRUST_3c383b35-ab5d-4776-906f-551f83fe6af2_airr_extracted_trb_frequencies_filtered.tsv,0.3831,1
TRUST_3cf48114-c430-41e7-86a0-bfa37841a2b4_airr_extracted_trb_frequencies_filtered.tsv,0.5095,1
TRUST_3fb80c81-1475-4374-9694-fad58489a197_airr_extracted_trb_frequencies_filtered.tsv,0.4595,1
TRUST_404024d4-f8e8-454c-9ded-93e82fe747eb_airr_extracted_trb_frequencies_filtered.tsv,0.5019,1
TRUST_435599c5-5168-4f81-9b8d-3afb38cbda1c_airr_extracted_trb_frequencies_filtered.tsv,0.5437,1
TRUST_44add336-6e3e-4074-a9f7-992dca97bbed_airr_extracted_trb_frequencies_filtered.tsv,0.6301,1
TRUST_4501df29-a8eb-454e-b37f-235591e01688_airr_extracted_trb_frequencies_filtered.tsv,0.5908,1
TRUST_466b4b32-6823-4c8f-9166-2465d8c34e59_airr_extracted_trb_frequencies_filtered.tsv,0.6468,1
TRUST_46c68cdd-6b3e-495b-aa87-4dfbf2d174c4_airr_extracted_trb_frequencies_filtered.tsv,0.5594,1
TRUST_485beaed-0f45-4d86-9f3e-0ead8bdb844a_airr_extracted_trb_frequencies_filtered.tsv,0.6853,1
TRUST_48e3458a-198e-4013-a302-9d505b87ffdb_airr_extracted_trb_frequencies_filtered.tsv,0.4112,1
TRUST_4c4d16d6-9159-451c-997a-65873bd20d95_airr_extracted_trb_frequencies_filtered.tsv,0.4805,1
TRUST_51ae1076-a516-4c1f-9ba7-746b0e52423e_airr_extracted_trb_frequencies_filtered.tsv,0.5518,1
TRUST_553c3345-249f-4922-9f8a-2cc126c95c64_airr_extracted_trb_frequencies_filtered.tsv,0.5375,1
TRUST_558c9326-02f3-483b-853f-f5033625d96c_airr_extracted_trb_frequencies_filtered.tsv,0.4365,1
TRUST_588df35f-35fd-45d9-9ea6-f9b763f99255_airr_extracted_trb_frequencies_filtered.tsv,0.5499,1
TRUST_5bed34fa-431e-4b3c-93a3-7e4294d006a6_airr_extracted_trb_frequencies_filtered.tsv,0.4518,1
TRUST_5c9a5c7b-fdce-414c-9fb4-0b7b1e5078b5_airr_extracted_trb_frequencies_filtered.tsv,0.6906,1
TRUST_5fca4dd7-67ae-4866-bf38-97bb51968b50_airr_extracted_trb_frequencies_filtered.tsv,0.6186,1
TRUST_6255546c-2d10-47d3-b67a-d035382b8fb9_airr_extracted_trb_frequencies_filtered.tsv,0.6617,1
TRUST_62d7c0c9-27eb-4cff-86f6-9c9e5ef6fd63_airr_extracted_trb_frequencies_filtered.tsv,0.5509,1
TRUST_65854bfb-5d68-4d10-85d5-d2e1459da8f6_airr_extracted_trb_frequencies_filtered.tsv,0.5366,5
TRUST_66b732fb-e4c8-44fd-889c-7c5a48f8b0d3_airr_extracted_trb_frequencies_filtered.tsv,0.5938,1
TRUST_670de49e-d86b-4b9e-adb3-d369156ff30f_airr_extracted_trb_frequencies_filtered.tsv,0.6161,2
